studyid,workflowid,threshold,numerator,denominator,log_denominator,gsm_analysis_date
AA-AA-000-0000,cou0001,-3,357.42062161964,115225.14,11.6546432326021,2018-12-01
AA-AA-000-0000,cou0001,-3,365.681709664253,117262,11.6721660264874,2018-12-01
AA-AA-000-0000,cou0001,-3,373.959453247622,119298.86,11.6893870522985,2018-12-01
AA-AA-000-0000,cou0001,-3,382.253427589048,121335.72,11.706316528087,2018-12-01
AA-AA-000-0000,cou0001,-3,390.563225662506,123372.58,11.7229641615485,2018-12-01
AA-AA-000-0000,cou0001,-3,398.888457174759,125409.44,11.7393391834545,2018-12-01
AA-AA-000-0000,cou0001,-3,407.228747617876,127446.3,11.7554503783903,2018-12-01
AA-AA-000-0000,cou0001,-3,415.583737389621,129483.16,11.7713061130559,2018-12-01
AA-AA-000-0000,cou0001,-3,423.953080975887,131520.02,11.7869143623581,2018-12-01
AA-AA-000-0000,cou0001,-3,432.336446189893,133556.88,11.8022827334972,2018-12-01
AA-AA-000-0000,cou0001,-3,440.733513463402,135593.74,11.817418488231,2018-12-01
AA-AA-000-0000,cou0001,-3,449.143975185686,137630.6,11.8323285634787,2018-12-01
AA-AA-000-0000,cou0001,-3,457.567535086348,139667.46,11.847019590411,2018-12-01
AA-AA-000-0000,cou0001,-3,466.003907658522,141704.32,11.8614979121583,2018-12-01
AA-AA-000-0000,cou0001,-3,474.452817619235,143741.18,11.8757696002555,2018-12-01
AA-AA-000-0000,cou0001,-3,482.913999404082,145778.04,11.8898404699288,2018-12-01
AA-AA-000-0000,cou0001,-3,491.387196693554,147814.9,11.903716094323,2018-12-01
AA-AA-000-0000,cou0001,-3,499.872161968643,149851.76,11.9174018177542,2018-12-01
AA-AA-000-0000,cou0001,-3,508.36865609355,151888.62,11.9309027680684,2018-12-01
AA-AA-000-0000,cou0001,-3,516.876447923481,153925.48,11.9442238681764,2018-12-01
AA-AA-000-0000,cou0001,-3,525.395313935732,155962.34,11.9573698468311,2018-12-01
AA-AA-000-0000,cou0001,-3,533.925037882384,157999.2,11.9703452487051,2018-12-01
AA-AA-000-0000,cou0001,-3,542.465410463084,160036.06,11.9831544438228,2018-12-01
AA-AA-000-0000,cou0001,-3,551.01622901651,162072.92,11.9958016363961,2018-12-01
AA-AA-000-0000,cou0001,-3,559.577297229233,164109.78,12.0082908731085,2018-12-01
AA-AA-000-0000,cou0001,-3,568.148424860789,166146.64,12.0206260508879,2018-12-01
AA-AA-000-0000,cou0001,-3,576.729427483874,168183.5,12.0328109242061,2018-12-01
AA-AA-000-0000,cou0001,-3,585.320126238659,170220.36,12.0448491119388,2018-12-01
AA-AA-000-0000,cou0001,-3,593.920347600294,172257.22,12.0567441038175,2018-12-01
AA-AA-000-0000,cou0001,-3,602.529923158747,174294.08,12.0684992665022,2018-12-01
