"Threshold","Denominator","LogDenominator","Numerator","Metric","MetricID","StudyID","SnapshotDate"
-2,208769.568,12.248986377242,11587.4891903966,0.0555037273938156,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,208787,12.249069872516,11588.4611595476,0.0555037486028709,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,208804.432,12.249153360819,11589.4331288834,0.0555037698092702,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,208821.864,12.2492368421523,11590.4050984041,0.0555037910130141,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,208839.296,12.2493203165171,11591.3770681095,0.0555038122141031,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,208856.728,12.2494037839145,11592.3490379997,0.0555038334125377,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,208874.16,12.2494872443456,11593.3210080747,0.0555038546083186,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,208891.592,12.2495706978117,11594.2929783344,0.0555038758014462,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,208909.024,12.2496541443139,11595.2649487788,0.0555038969919211,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,208926.456,12.2497375838534,11596.2369194079,0.0555039181797439,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,208943.888,12.2498210164313,11597.2088902216,0.0555039393649151,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,208961.32,12.2499044420487,11598.18086122,0.0555039605474353,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,208978.752,12.2499878607069,11599.152832403,0.055503981727305,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,208996.184,12.2500712724071,11600.1248037706,0.0555040029045248,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209013.616,12.2501546771502,11601.0967753228,0.0555040240790952,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209031.048,12.2502380749377,11602.0687470595,0.0555040452510169,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209048.48,12.2503214657705,11603.0407189807,0.0555040664202902,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209065.912,12.2504048496498,11604.0126910864,0.0555040875869159,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209083.344,12.2504882265769,11604.9846633767,0.0555041087508944,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209100.776,12.2505715965528,11605.9566358513,0.0555041299122263,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209118.208,12.2506549595788,11606.9286085104,0.0555041510709121,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209135.64,12.2507383156559,11607.9005813539,0.0555041722269524,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209153.072,12.2508216647854,11608.8725543818,0.0555041933803478,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209170.504,12.2509050069684,11609.8445275941,0.0555042145310988,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209187.936,12.2509883422061,11610.8165009906,0.0555042356792059,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209205.368,12.2510716704995,11611.7884745715,0.0555042568246698,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209222.8,12.25115499185,11612.7604483367,0.0555042779674908,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209240.232,12.2512383062585,11613.7324222862,0.0555042991076697,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209257.664,12.2513216137264,11614.7043964199,0.055504320245207,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209275.096,12.2514049142547,11615.6763707379,0.0555043413801031,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209292.528,12.2514882078446,11616.64834524,0.0555043625123587,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209309.96,12.2515714944973,11617.6203199263,0.0555043836419743,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209327.392,12.2516547742138,11618.5922947968,0.0555044047689505,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209344.824,12.2517380469955,11619.5642698514,0.0555044258932877,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209362.256,12.2518213128433,11620.5362450901,0.0555044470149866,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209379.688,12.2519045717586,11621.5082205129,0.0555044681340477,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209397.12,12.2519878237423,11622.4801961197,0.0555044892504716,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209414.552,12.2520710687958,11623.4521719106,0.0555045103642587,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209431.984,12.2521543069201,11624.4241478855,0.0555045314754097,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209449.416,12.2522375381163,11625.3961240444,0.0555045525839251,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209466.848,12.2523207623858,11626.3681003873,0.0555045736898055,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209484.28,12.2524039797295,11627.3400769141,0.0555045947930513,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209501.712,12.2524871901486,11628.3120536248,0.0555046158936632,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209519.144,12.2525703936444,11629.2840305195,0.0555046369916416,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209536.576,12.2526535902179,11630.256007598,0.0555046580869872,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209554.008,12.2527367798704,11631.2279848604,0.0555046791797005,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209571.44,12.2528199626029,11632.1999623066,0.055504700269782,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209588.872,12.2529031384166,11633.1719399366,0.0555047213572323,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209606.304,12.2529863073126,11634.1439177504,0.0555047424420519,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209623.736,12.2530694692922,11635.115895748,0.0555047635242414,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209641.168,12.2531526243564,11636.0878739293,0.0555047846038013,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209658.6,12.2532357725064,11637.0598522944,0.0555048056807322,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209676.032,12.2533189137434,11638.0318308431,0.0555048267550345,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209693.464,12.2534020480686,11639.0038095755,0.055504847826709,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209710.896,12.2534851754829,11639.9757884915,0.055504868895756,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209728.328,12.2535682959877,11640.9477675912,0.0555048899621762,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209745.76,12.253651409584,11641.9197468745,0.0555049110259701,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209763.192,12.253734516273,11642.8917263413,0.0555049320871382,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209780.624,12.2538176160559,11643.8637059918,0.0555049531456811,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209798.056,12.2539007089338,11644.8356858257,0.0555049742015994,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209815.488,12.2539837949078,11645.8076658432,0.0555049952548935,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209832.92,12.2540668739792,11646.7796460441,0.055505016305564,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209850.352,12.2541499461489,11647.7516264285,0.0555050373536115,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
-2,209867.784,12.2542330114183,11648.7236069964,0.0555050583990366,"Analysis_cou0001","AA-AA-000-0000",2012-12-31
