"GroupID","GroupLevel","Numerator","Denominator","Metric","Score","Flag","MetricID","SnapshotDate","StudyID"
"0X035","Site",4,8,0.5,NA,NA,"Analysis_kri0001",2012-01-31,"AA-AA-000-0000"
"0X076","Site",0,24,0,NA,NA,"Analysis_kri0001",2012-01-31,"AA-AA-000-0000"
"0X024","Site",2,6,0.333333333333333,NA,NA,"Analysis_kri0001",2012-01-31,"AA-AA-000-0000"
"0X141","Site",2,7,0.285714285714286,NA,NA,"Analysis_kri0001",2012-01-31,"AA-AA-000-0000"
"0X155","Site",3,25,0.12,NA,NA,"Analysis_kri0001",2012-01-31,"AA-AA-000-0000"
"0X162","Site",2,23,0.0869565217391304,NA,NA,"Analysis_kri0001",2012-01-31,"AA-AA-000-0000"
"0X161","Site",1,12,0.0833333333333333,NA,NA,"Analysis_kri0001",2012-01-31,"AA-AA-000-0000"
"0X061","Site",2,25,0.08,NA,NA,"Analysis_kri0001",2012-01-31,"AA-AA-000-0000"
"0X144","Site",2,25,0.08,NA,NA,"Analysis_kri0001",2012-01-31,"AA-AA-000-0000"
"0X189","Site",1,19,0.0526315789473684,NA,NA,"Analysis_kri0001",2012-01-31,"AA-AA-000-0000"
"0X159","Site",1,21,0.0476190476190476,NA,NA,"Analysis_kri0001",2012-01-31,"AA-AA-000-0000"
"0X052","Site",0,6,0,NA,NA,"Analysis_kri0001",2012-01-31,"AA-AA-000-0000"
"0X104","Site",0,5,0,NA,NA,"Analysis_kri0001",2012-01-31,"AA-AA-000-0000"
"0X024","Site",2,6,0.333333333333333,NA,NA,"Analysis_kri0002",2012-01-31,"AA-AA-000-0000"
"0X076","Site",0,24,0,NA,NA,"Analysis_kri0002",2012-01-31,"AA-AA-000-0000"
"0X035","Site",1,8,0.125,NA,NA,"Analysis_kri0002",2012-01-31,"AA-AA-000-0000"
"0X162","Site",2,23,0.0869565217391304,NA,NA,"Analysis_kri0002",2012-01-31,"AA-AA-000-0000"
"0X161","Site",1,12,0.0833333333333333,NA,NA,"Analysis_kri0002",2012-01-31,"AA-AA-000-0000"
"0X189","Site",1,19,0.0526315789473684,NA,NA,"Analysis_kri0002",2012-01-31,"AA-AA-000-0000"
"0X159","Site",1,21,0.0476190476190476,NA,NA,"Analysis_kri0002",2012-01-31,"AA-AA-000-0000"
"0X061","Site",1,25,0.04,NA,NA,"Analysis_kri0002",2012-01-31,"AA-AA-000-0000"
"0X144","Site",1,25,0.04,NA,NA,"Analysis_kri0002",2012-01-31,"AA-AA-000-0000"
"0X155","Site",1,25,0.04,NA,NA,"Analysis_kri0002",2012-01-31,"AA-AA-000-0000"
"0X141","Site",0,7,0,NA,NA,"Analysis_kri0002",2012-01-31,"AA-AA-000-0000"
"0X052","Site",0,6,0,NA,NA,"Analysis_kri0002",2012-01-31,"AA-AA-000-0000"
"0X104","Site",0,5,0,NA,NA,"Analysis_kri0002",2012-01-31,"AA-AA-000-0000"
"0X104","Site",24,5,4.8,NA,NA,"Analysis_kri0003",2012-01-31,"AA-AA-000-0000"
"0X052","Site",28,6,4.66666666666667,NA,NA,"Analysis_kri0003",2012-01-31,"AA-AA-000-0000"
"0X035","Site",20,8,2.5,NA,NA,"Analysis_kri0003",2012-01-31,"AA-AA-000-0000"
"0X141","Site",16,7,2.28571428571429,NA,NA,"Analysis_kri0003",2012-01-31,"AA-AA-000-0000"
"0X024","Site",12,6,2,NA,NA,"Analysis_kri0003",2012-01-31,"AA-AA-000-0000"
"0X161","Site",13,12,1.08333333333333,NA,NA,"Analysis_kri0003",2012-01-31,"AA-AA-000-0000"
"0X189","Site",20,19,1.05263157894737,NA,NA,"Analysis_kri0003",2012-01-31,"AA-AA-000-0000"
"0X144","Site",24,25,0.96,NA,NA,"Analysis_kri0003",2012-01-31,"AA-AA-000-0000"
"0X076","Site",23,24,0.958333333333333,NA,NA,"Analysis_kri0003",2012-01-31,"AA-AA-000-0000"
"0X162","Site",22,23,0.956521739130435,NA,NA,"Analysis_kri0003",2012-01-31,"AA-AA-000-0000"
"0X159","Site",18,21,0.857142857142857,NA,NA,"Analysis_kri0003",2012-01-31,"AA-AA-000-0000"
"0X155","Site",21,25,0.84,NA,NA,"Analysis_kri0003",2012-01-31,"AA-AA-000-0000"
"0X061","Site",18,25,0.72,NA,NA,"Analysis_kri0003",2012-01-31,"AA-AA-000-0000"
"0X052","Site",22,6,3.66666666666667,NA,NA,"Analysis_kri0004",2012-01-31,"AA-AA-000-0000"
"0X104","Site",15,5,3,NA,NA,"Analysis_kri0004",2012-01-31,"AA-AA-000-0000"
"0X024","Site",18,6,3,NA,NA,"Analysis_kri0004",2012-01-31,"AA-AA-000-0000"
"0X141","Site",16,7,2.28571428571429,NA,NA,"Analysis_kri0004",2012-01-31,"AA-AA-000-0000"
"0X035","Site",17,8,2.125,NA,NA,"Analysis_kri0004",2012-01-31,"AA-AA-000-0000"
"0X161","Site",17,12,1.41666666666667,NA,NA,"Analysis_kri0004",2012-01-31,"AA-AA-000-0000"
"0X189","Site",25,19,1.31578947368421,NA,NA,"Analysis_kri0004",2012-01-31,"AA-AA-000-0000"
"0X159","Site",22,21,1.04761904761905,NA,NA,"Analysis_kri0004",2012-01-31,"AA-AA-000-0000"
"0X162","Site",20,23,0.869565217391304,NA,NA,"Analysis_kri0004",2012-01-31,"AA-AA-000-0000"
"0X061","Site",19,25,0.76,NA,NA,"Analysis_kri0004",2012-01-31,"AA-AA-000-0000"
"0X144","Site",17,25,0.68,NA,NA,"Analysis_kri0004",2012-01-31,"AA-AA-000-0000"
"0X155","Site",17,25,0.68,NA,NA,"Analysis_kri0004",2012-01-31,"AA-AA-000-0000"
"0X076","Site",16,24,0.666666666666667,NA,NA,"Analysis_kri0004",2012-01-31,"AA-AA-000-0000"
"0X144","Site",4,173,0.023121387283237,1.19676894562455,0,"Analysis_kri0005",2012-01-31,"AA-AA-000-0000"
"0X052","Site",4,176,0.0227272727272727,1.15952789653562,0,"Analysis_kri0005",2012-01-31,"AA-AA-000-0000"
"0X159","Site",4,184,0.0217391304347826,1.06362985192672,0,"Analysis_kri0005",2012-01-31,"AA-AA-000-0000"
"0X024","Site",4,196,0.0204081632653061,0.928223526985436,0,"Analysis_kri0005",2012-01-31,"AA-AA-000-0000"
"0X189","Site",4,203,0.0197044334975369,0.85342384520099,0,"Analysis_kri0005",2012-01-31,"AA-AA-000-0000"
"0X141","Site",3,191,0.0157068062827225,0.32512412160207,0,"Analysis_kri0005",2012-01-31,"AA-AA-000-0000"
"0X104","Site",3,197,0.0152284263959391,0.26909874059128,0,"Analysis_kri0005",2012-01-31,"AA-AA-000-0000"
"0X035","Site",2,189,0.0105820105820106,-0.317629365944031,0,"Analysis_kri0005",2012-01-31,"AA-AA-000-0000"
"0X161","Site",2,193,0.0103626943005181,-0.348695387123,0,"Analysis_kri0005",2012-01-31,"AA-AA-000-0000"
"0X155","Site",2,204,0.00980392156862745,-0.431110650038642,0,"Analysis_kri0005",2012-01-31,"AA-AA-000-0000"
"0X162","Site",1,203,0.00492610837438424,-1.06239969304402,0,"Analysis_kri0005",2012-01-31,"AA-AA-000-0000"
"0X076","Site",0,204,0,-1.70519206584027,0,"Analysis_kri0005",2012-01-31,"AA-AA-000-0000"
"0X061","Site",0,202,0,-1.69681269293939,0,"Analysis_kri0005",2012-01-31,"AA-AA-000-0000"
"0X141","Site",3,1,3,NA,NA,"Analysis_kri0006",2012-01-31,"AA-AA-000-0000"
"0X144","Site",3,1,3,NA,NA,"Analysis_kri0006",2012-01-31,"AA-AA-000-0000"
"0X035","Site",2,1,2,NA,NA,"Analysis_kri0006",2012-01-31,"AA-AA-000-0000"
"0X052","Site",2,1,2,NA,NA,"Analysis_kri0006",2012-01-31,"AA-AA-000-0000"
"0X061","Site",2,1,2,NA,NA,"Analysis_kri0006",2012-01-31,"AA-AA-000-0000"
"0X104","Site",2,1,2,NA,NA,"Analysis_kri0006",2012-01-31,"AA-AA-000-0000"
"0X155","Site",2,1,2,NA,NA,"Analysis_kri0006",2012-01-31,"AA-AA-000-0000"
"0X024","Site",1,1,1,NA,NA,"Analysis_kri0006",2012-01-31,"AA-AA-000-0000"
"0X161","Site",1,1,1,NA,NA,"Analysis_kri0006",2012-01-31,"AA-AA-000-0000"
"0X076","Site",0,1,0,NA,NA,"Analysis_kri0006",2012-01-31,"AA-AA-000-0000"
"0X159","Site",0,1,0,NA,NA,"Analysis_kri0006",2012-01-31,"AA-AA-000-0000"
"0X162","Site",0,1,0,NA,NA,"Analysis_kri0006",2012-01-31,"AA-AA-000-0000"
"0X189","Site",0,1,0,NA,NA,"Analysis_kri0006",2012-01-31,"AA-AA-000-0000"
"0X144","Site",2,1,2,NA,NA,"Analysis_kri0007",2012-01-31,"AA-AA-000-0000"
"0X189","Site",2,1,2,NA,NA,"Analysis_kri0007",2012-01-31,"AA-AA-000-0000"
"0X024","Site",1,1,1,NA,NA,"Analysis_kri0007",2012-01-31,"AA-AA-000-0000"
"0X076","Site",1,1,1,NA,NA,"Analysis_kri0007",2012-01-31,"AA-AA-000-0000"
"0X104","Site",1,1,1,NA,NA,"Analysis_kri0007",2012-01-31,"AA-AA-000-0000"
"0X155","Site",1,1,1,NA,NA,"Analysis_kri0007",2012-01-31,"AA-AA-000-0000"
"0X162","Site",1,1,1,NA,NA,"Analysis_kri0007",2012-01-31,"AA-AA-000-0000"
"0X035","Site",0,1,0,NA,NA,"Analysis_kri0007",2012-01-31,"AA-AA-000-0000"
"0X052","Site",0,1,0,NA,NA,"Analysis_kri0007",2012-01-31,"AA-AA-000-0000"
"0X061","Site",0,1,0,NA,NA,"Analysis_kri0007",2012-01-31,"AA-AA-000-0000"
"0X141","Site",0,1,0,NA,NA,"Analysis_kri0007",2012-01-31,"AA-AA-000-0000"
"0X159","Site",0,1,0,NA,NA,"Analysis_kri0007",2012-01-31,"AA-AA-000-0000"
"0X161","Site",0,1,0,NA,NA,"Analysis_kri0007",2012-01-31,"AA-AA-000-0000"
"0X161","Site",86,744,0.115591397849462,1.86960245743932,0,"Analysis_kri0008",2012-01-31,"AA-AA-000-0000"
"0X076","Site",82,738,0.111111111111111,1.32697707572311,0,"Analysis_kri0008",2012-01-31,"AA-AA-000-0000"
"0X144","Site",82,750,0.109333333333333,1.12368648402005,0,"Analysis_kri0008",2012-01-31,"AA-AA-000-0000"
"0X189","Site",84,811,0.103575832305795,0.447677553616994,0,"Analysis_kri0008",2012-01-31,"AA-AA-000-0000"
"0X035","Site",83,810,0.102469135802469,0.308933663825581,0,"Analysis_kri0008",2012-01-31,"AA-AA-000-0000"
"0X104","Site",77,773,0.0996119016817594,-0.047436130649629,0,"Analysis_kri0008",2012-01-31,"AA-AA-000-0000"
"0X141","Site",83,835,0.0994011976047904,-0.0760684409577711,0,"Analysis_kri0008",2012-01-31,"AA-AA-000-0000"
"0X024","Site",73,747,0.0977242302543507,-0.273442722403064,0,"Analysis_kri0008",2012-01-31,"AA-AA-000-0000"
"0X061","Site",73,749,0.0974632843791722,-0.30520415439582,0,"Analysis_kri0008",2012-01-31,"AA-AA-000-0000"
"0X162","Site",74,771,0.0959792477302205,-0.490808701382245,0,"Analysis_kri0008",2012-01-31,"AA-AA-000-0000"
"0X155","Site",71,745,0.0953020134228188,-0.563725469198578,0,"Analysis_kri0008",2012-01-31,"AA-AA-000-0000"
"0X159","Site",66,755,0.0874172185430464,-1.51994501817048,0,"Analysis_kri0008",2012-01-31,"AA-AA-000-0000"
"0X052","Site",66,772,0.0854922279792746,-1.77209549400768,0,"Analysis_kri0008",2012-01-31,"AA-AA-000-0000"
"0X141","Site",4,83,0.0481927710843374,2.13413229272703,1,"Analysis_kri0009",2012-01-31,"AA-AA-000-0000"
"0X161","Site",4,86,0.0465116279069767,2.0552787183021,1,"Analysis_kri0009",2012-01-31,"AA-AA-000-0000"
"0X189","Site",2,84,0.0238095238095238,0.468688954726963,0,"Analysis_kri0009",2012-01-31,"AA-AA-000-0000"
"0X159","Site",1,66,0.0151515151515152,-0.112775872583654,0,"Analysis_kri0009",2012-01-31,"AA-AA-000-0000"
"0X155","Site",1,71,0.0140845070422535,-0.184488586849843,0,"Analysis_kri0009",2012-01-31,"AA-AA-000-0000"
"0X024","Site",1,73,0.0136986301369863,-0.211828282838863,0,"Analysis_kri0009",2012-01-31,"AA-AA-000-0000"
"0X061","Site",1,73,0.0136986301369863,-0.211828282838863,0,"Analysis_kri0009",2012-01-31,"AA-AA-000-0000"
"0X076","Site",1,82,0.0121951219512195,-0.326751529223474,0,"Analysis_kri0009",2012-01-31,"AA-AA-000-0000"
"0X144","Site",1,82,0.0121951219512195,-0.326751529223474,0,"Analysis_kri0009",2012-01-31,"AA-AA-000-0000"
"0X035","Site",1,83,0.0120481927710843,-0.338790410317038,0,"Analysis_kri0009",2012-01-31,"AA-AA-000-0000"
"0X104","Site",0,77,0,-1.12026977062296,0,"Analysis_kri0009",2012-01-31,"AA-AA-000-0000"
"0X162","Site",0,74,0,-1.09822952302579,0,"Analysis_kri0009",2012-01-31,"AA-AA-000-0000"
"0X052","Site",0,66,0,-1.03716827081032,0,"Analysis_kri0009",2012-01-31,"AA-AA-000-0000"
"0X162","Site",3976,77536,0.0512794056954189,1.47589962163836,0,"Analysis_kri0010",2012-01-31,"AA-AA-000-0000"
"0X076","Site",3942,77172,0.0510807028455917,1.23386715406379,0,"Analysis_kri0010",2012-01-31,"AA-AA-000-0000"
"0X061","Site",3924,76966,0.0509835511784424,1.11573405266715,0,"Analysis_kri0010",2012-01-31,"AA-AA-000-0000"
"0X155","Site",3927,77528,0.0506526674233825,0.721623575846008,0,"Analysis_kri0010",2012-01-31,"AA-AA-000-0000"
"0X159","Site",3877,76623,0.0505983842971432,0.652458918383945,0,"Analysis_kri0010",2012-01-31,"AA-AA-000-0000"
"0X141","Site",3899,77100,0.0505706874189364,0.621249090859824,0,"Analysis_kri0010",2012-01-31,"AA-AA-000-0000"
"0X144","Site",3857,76794,0.0502252780165117,0.206330995783334,0,"Analysis_kri0010",2012-01-31,"AA-AA-000-0000"
"0X104","Site",3820,77225,0.0494658465522823,-0.705182522946026,0,"Analysis_kri0010",2012-01-31,"AA-AA-000-0000"
"0X024","Site",3788,76624,0.0494362079766131,-0.73789084980084,0,"Analysis_kri0010",2012-01-31,"AA-AA-000-0000"
"0X161","Site",3758,76132,0.0493616350549046,-0.824445479866648,0,"Analysis_kri0010",2012-01-31,"AA-AA-000-0000"
"0X189","Site",3777,76772,0.0491976241337988,-1.02430522149312,0,"Analysis_kri0010",2012-01-31,"AA-AA-000-0000"
"0X052","Site",3768,76733,0.049105339293394,-1.13452724339165,0,"Analysis_kri0010",2012-01-31,"AA-AA-000-0000"
"0X035","Site",3740,76795,0.0487010873103718,-1.61914626876073,0,"Analysis_kri0010",2012-01-31,"AA-AA-000-0000"
"0X035","Site",242,810,0.298765432098765,2.29412262485591,1,"Analysis_kri0011",2012-01-31,"AA-AA-000-0000"
"0X061","Site",210,749,0.280373831775701,1.11436833488159,0,"Analysis_kri0011",2012-01-31,"AA-AA-000-0000"
"0X159","Site",210,755,0.278145695364238,0.986037499868704,0,"Analysis_kri0011",2012-01-31,"AA-AA-000-0000"
"0X144","Site",203,750,0.270666666666667,0.538534106290804,0,"Analysis_kri0011",2012-01-31,"AA-AA-000-0000"
"0X104","Site",204,773,0.263906856403622,0.139105800767707,0,"Analysis_kri0011",2012-01-31,"AA-AA-000-0000"
"0X024","Site",195,747,0.261044176706827,-0.0329482214320082,0,"Analysis_kri0011",2012-01-31,"AA-AA-000-0000"
