"","Threshold","Denominator","LogDenominator","Numerator","Metric","MetricID","SnapshotDate","StudyID"
"1",-2,12675.208,9.44740323858115,0.382806459688799,3.02011974627004e-05,"kri0001",2024-07-08,"ABC-123"
"2",-2,12878.792,9.46333720644002,0.889813728729894,6.90913968274271e-05,"kri0001",2024-07-08,"ABC-123"
"3",-2,13082.376,9.47902125989072,1.40073301855481,0.000107070230862865,"kri0001",2024-07-08,"ABC-123"
"4",-2,13285.96,9.49446311753271,1.91547335959845,0.000144172747742613,"kri0001",2024-07-08,"ABC-123"
"5",-2,13489.544,9.50967014581357,2.43394725422971,0.000180432137233824,"kri0001",2024-07-08,"ABC-123"
"6",-2,13693.128,9.5246493801305,2.9560704940226,0.000215879855502892,"kri0001",2024-07-08,"ABC-123"
"7",-2,13896.712,9.5394075443746,3.4817619892094,0.000250545739827478,"kri0001",2024-07-08,"ABC-123"
"8",-2,14100.296,9.55395106905371,4.0109436093375,0.000284458114165653,"kri0001",2024-07-08,"ABC-123"
"9",-2,14303.88,9.56828610811636,4.5435400342436,0.000317643886431066,"kri0001",2024-07-08,"ABC-123"
"10",-2,14507.464,9.58241855458659,5.07947861453997,0.000350128638233393,"kri0001",2024-07-08,"ABC-123"
"11",-2,14711.048,9.59635405510941,5.61868924088145,0.000381936707764222,"kri0001",2024-07-08,"ABC-123"
"12",-2,14914.632,9.61009802349662,6.16110422134659,0.000413091266438662,"kri0001",2024-07-08,"ABC-123"
"13",-2,15118.216,9.62365565335424,6.70665816632625,0.00044361438984112,"kri0001",2024-07-08,"ABC-123"
"14",-2,15321.8,9.63703192986535,7.25528788036498,0.000473527123468847,"kri0001",2024-07-08,"ABC-123"
"15",-2,15525.384,9.65023164079531,7.80693226044901,0.000502849543718147,"kri0001",2024-07-08,"ABC-123"
"16",-2,15728.968,9.66325938677993,8.36153220027707,0.00053160081451479,"kri0001",2024-07-08,"ABC-123"
"17",-2,15932.552,9.67611959095215,8.91903050008968,0.000559799239951621,"kri0001",2024-07-08,"ABC-123"
"18",-2,16136.136,9.68881650795748,9.47937178166738,0.000587462313261823,"kri0001",2024-07-08,"ABC-123"
"19",-2,16339.72,9.70135423240426,10.0425024081403,0.000614606762425566,"kri0001",2024-07-08,"ABC-123"
"20",-2,16543.304,9.71373670679071,10.6083704082801,0.00064124859268016,"kri0001",2024-07-08,"ABC-123"
"21",-2,16746.888,9.72596772894714,11.1769254049725,0.000667403126179175,"kri0001",2024-07-08,"ABC-123"
"22",-2,16950.472,9.73805095902856,11.748118547591,0.000693085039023749,"kri0001",2024-07-08,"ABC-123"
"23",-2,17154.056,9.74998992608975,12.3219024480145,0.000718308395869438,"kri0001",2024-07-08,"ABC-123"
